datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A boiler (Wh/sqft),cell B boiler (Wh/sqft),cell A chiller (Wh/sqft),cell B chiller (Wh/sqft),cell A ahu fan (Wh/sqft),cell B ahu fan (Wh/sqft),cell A hw pump (Wh/sqft),cell B hw pump (Wh/sqft),cell A hvac energy (Wh/sqft),cell B hvac energy (Wh/sqft)
2019-10-24 19:00:00,CorePlus-S,26.378433008472218,0.16376256599575192,0.0,0.0,0.0,0.08910304675624998,0.04762605416064815,0.07535338942129632,0.07827655393194445,0.32821900217329825,0.1259026080925926
2019-10-24 20:00:00,CorePlus-S,26.326169062361107,0.15307930988263327,0.0,0.0,0.0,0.08982499395185187,0.04729700238078704,0.07577860450416665,0.07866622534699073,0.31868290833865176,0.12596322772777777
2019-10-24 21:00:00,CorePlus-S,26.462941951388892,0.13970575823777814,0.0,0.0,0.0,0.09003025192083335,0.04740507549560185,0.07579925879675928,0.07856962095787037,0.30553526895537075,0.12597469645347223
2019-10-24 22:00:00,CorePlus-S,26.414258017916666,0.12510629415408756,0.0,0.0,0.0,0.09021772660810186,0.04753640693726852,0.07588781685787037,0.07857290180902778,0.2912118376200598,0.1261093087462963
2019-10-24 23:00:00,CorePlus-S,25.590084113611113,0.15319775954896858,0.0,0.0,0.0,0.09037417559606482,0.047675929631249996,0.07590624810671297,0.07862086347731484,0.3194781832517464,0.12629679310856484
2019-11-01 00:00:00,CorePlus-I,15.649799727777776,0.11093237058348408,0.0,0.0,0.0,0.09088253314143517,0.04805931096319445,0.07588710015810185,0.07782921965902777,0.27770200388302113,0.12588853062222222
2019-11-01 01:00:00,CorePlus-I,14.601685555555555,0.11069200558514058,0.0,0.0,0.0,0.0909945334787037,0.048160210512499996,0.0758146349162037,0.0778368394724537,0.277501173980048,0.1259970499849537
2019-11-01 02:00:00,CorePlus-I,13.373326875,0.11501747837095652,0.0,0.0,0.0,0.09135804067245369,0.04835205588888889,0.07568848333402779,0.07775904505231485,0.282064002377438,0.12611110094120373
2019-11-01 03:00:00,CorePlus-I,13.274119083333336,0.1154317734443015,0.0,0.0,0.0,0.09124256954236112,0.048472706900925915,0.07567448908333334,0.07774535263148147,0.28234883206999595,0.1262180595324074
2019-11-01 04:00:00,CorePlus-I,12.787286180555558,0.11062998050382183,0.0,0.0,0.0,0.09118410421064817,0.04832280301226852,0.0755480724300926,0.0776294339113426,0.2773621571445626,0.12595223692361113
